     Depth;ArrivalTime1_Manual;ArrivalTime2_Manual;ArrivalTime3_Manual
7.72;225.412;247.059;265.412
7.74;220.941;237.882;260
7.76;216.235;236.941;262.118
7.78;226.824;245.176;267.294
7.8;226.824;251.294;273.176
7.82;228.824;254.824;273.647
7.84;226.618;249.882;268.706
7.86;225.412;240.706;267.294
7.88;223.294;239.294;271.765
7.9;221.412;245.647;272.235
7.92;222.824;250.353;274.588
7.94;223.765;244.706;274.588
7.96;223.765;244.706;273.647
7.98;226.353;244.235;273.647
8;227.294;244.235;276
8.02;231.529;248.941;276.471
8.04;230.588;249.882;276.941
8.06;227.294;249.882;276
8.08;229.176;249.882;266.824
8.1;222.353;248;264
8.12;219.059;241.176;264
8.14;217.647;236.941;264.941
8.16;224.235;243.765;265.412
8.18;223.765;241.176;262.588
8.2;220;241.176;269.647
8.22;225.412;244.118;270.824
8.24;225.412;238.382;269.176
8.26;223.294;233.971;263.529
8.28;217.647;232.941;263.059
8.3;220.471;242.588;268.706
8.32;223.294;242.588;270.353
8.34;228.235;246.588;268.706
8.36;236.941;248.471;271.294
8.38;236.941;257.647;276
8.4;230.588;258.118;276
8.42;229.176;249.882;275.529
8.44;229.176;249.882;275.059
8.46;229.647;249.882;274.588
8.48;228.235;249.882;276
8.5;227.765;249.882;276.941
8.52;225.412;248.471;275.529
8.54;225.882;248.471;275.529
8.56;224.235;248.941;273.176
8.58;224.235;247.529;271.765
8.6;224.235;246.588;270.824
8.62;224.706;246.118;270.353
8.64;227.294;245.647;269.647
8.66;226.353;245.176;269.647
8.68;231.529;254.353;273.176
8.7;233.882;255.294;274.118
8.72;229.176;248.941;269.176
8.74;224.235;241.647;264.941
8.76;217.176;238.824;264.471
8.78;222.353;248.471;268.235
8.8;230.118;252.471;278.824
8.82;229.176;253.882;277.412
8.84;226.824;256.235;269.176
8.86;224.706;246.118;269.176
8.88;226.824;246.588;272.235
8.9;224.706;246.118;273.647
8.92;223.765;245.647;271.765
8.94;229.176;247.059;270.824
8.96;229.647;247.059;270.824
8.98;228.235;246.118;270.353
9;227.294;243.294;275.529
9.02;227.294;245.647;271.765
9.04;229.176;251.294;272.706
9.06;229.176;250.353;275.059
9.08;227.294;249.882;274.118
9.1;222.824;246.588;270.824
9.12;220.471;240.235;266.824
9.14;222.353;236.941;268.706
9.16;222.824;238.824;269.176
9.18;222.353;243.765;270.353
9.2;222.353;243.765;270.353
9.22;222.353;235.059;270.824
9.24;225.882;250.824;271.294
9.26;222.824;244.235;270.353
9.28;221.412;242.588;269.647
9.3;221.412;243.765;272.235
9.32;224.706;244.706;273.647
9.34;226.824;246.118;274.118
9.36;229.647;249.882;276
9.38;230.588;256.706;277.412
9.4;229.647;255.294;276.941
9.42;229.176;252.941;275.059
9.44;230.118;251.294;275.059
9.46;229.176;249.882;274.588
9.48;228.706;249.412;273.647
9.5;223.294;249.882;273.176
9.52;222.353;248.471;272.235
9.54;222.353;247.059;268.235
9.56;221.412;245.176;268.235
9.58;221.412;244.235;267.765
9.6;220.941;244.706;267.294
9.62;222.353;247.059;267.765
9.64;226.353;246.588;264.471
9.66;225.882;242.588;261.647
9.68;223.765;243.294;269.176
9.7;222.353;248.941;271.765
9.72;222.824;244.235;267.294
9.74;223.294;241.176;259.059
9.76;211.765;233.882;259.059
9.78;211.294;233.882;262.588
9.8;216.706;237.412;268.235
9.82;225.882;247.059;274.588
9.84;224.235;250.353;270.353
9.86;225.412;245.176;273.176
9.88;226.353;244.706;273.176
9.9;226.353;245.176;275.529
9.92;226.353;244.235;277.412
9.94;230.118;244.706;278.353
9.96;230.118;252.941;277.882
9.98;230.118;248.471;274.588
10;229.176;248.941;277.412
10.02;228.706;248.941;277.882
10.04;228.235;252.941;278.824
10.06;228.706;255.294;278.824
10.08;231.471;252.471;275.059
10.1;232.059;250.824;273.647
10.12;228.706;247.529;273.176
10.14;228.706;248;276.471
10.16;228.706;251.294;276.941
10.18;228.706;250.824;274.118
10.2;228.706;250.824;271.294
10.22;228.706;244.706;264.941
10.24;228.706;232;250.353
10.26;-999;228.235;245.176
10.28;-999;228.706;245.176
10.3;-999;230.588;244.706
10.32;221.882;238.353;251.765
10.34;231.059;243.765;260.471
10.36;236;254.824;266.353
10.38;248.941;260.941;278.353
10.4;251.294;265.882;282.824
10.42;264;275.529;288
10.44;-999;278.353;295.294
10.46;-999;288;301.647
10.48;-999;290.118;317.647
10.5;271.618;296.706;308.471
10.52;275;296.235;317.647
10.54;-999;310.824;320.471
10.56;-999;311.294;331.529
10.58;-999;315.294;337.412
10.6;-999;325.882;344.706
10.62;-999;337.882;355.765
10.64;-999;346.118;364.941
10.66;-999;352;373.176
10.68;-999;354.353;380
10.7;-999;353.882;380.941
10.72;-999;353.882;380.471
10.74;329.118;352.471;380.471
10.76;327.794;352.941;380.941
10.78;325.735;352.471;380.941
10.8;325.735;349.882;379.059
10.82;-999;352;377.882
10.84;-999;360.706;386.118
10.86;-999;365.882;388.235
10.88;-999;365.882;392.471
10.9;-999;358.118;377.882
10.92;-999;348.941;375.529
10.94;-999;345.176;367.765
10.96;-999;339.765;365.882
10.98;-999;332.941;360
11;-999;332;350.353
11.02;-999;330.118;345.647
11.04;-999;328.235;348
11.06;300;324.941;347.529
11.08;299.706;327.294;344.235
11.1;-999;327.294;348.471
11.12;-999;326.353;346.588
11.14;-999;325.412;348
11.16;-999;321.882;345.647
11.18;296.176;317.176;342.824
11.2;296.765;312.706;339.294
11.22;293.882;311.294;336.941
11.24;288.706;310.353;336.941
11.26;283.294;307.059;332.941
11.28;280.941;304.471;327.765
11.3;278.353;301.647;321.882
11.32;-999;295.765;319.529
11.34;-999;295.765;317.647
11.36;-999;291.529;317.176
11.38;-999;287.059;306.588
11.4;-999;283.765;301.647
11.42;-999;280.471;297.882
11.44;-999;278.824;298.353
11.46;-999;280;301.176
11.48;-999;281.882;300.706
11.5;-999;281.412;302.588
11.52;-999;281.412;306.588
11.54;266.824;282.353;313.176
11.56;269.176;288;316.706
11.58;268.235;289.647;316.706
11.6;268.235;290.118;316.706
11.62;272.235;292.941;315.294
11.64;272.235;293.882;311.294
11.66;272.235;289.176;310.824
11.68;272.647;290.588;311.294
11.7;277.353;294.824;314.118
11.72;283.676;299.294;324.471
11.74;284.118;302.588;324.941
11.76;280.471;304.941;329.176
11.78;279.529;305.882;332.471
11.8;279.529;307.529;333.647
11.82;283.765;308.941;335.529
11.84;289.647;315.294;336
11.86;291.529;320.471;340.706
11.88;293.412;322.824;348
11.9;300.706;324.471;352.471
11.92;308.471;328.706;357.647
11.94;311.294;330.588;361.647
11.96;320.941;342.353;361.647
11.98;323.294;347.059;380.941
12;329.647;350.824;384.235
12.02;334.118;353.412;386.118
12.04;337.882;359.059;388.235
12.06;340.235;362.118;385.647
12.08;340.235;361.176;377.882
12.1;336.471;357.647;373.647
12.12;330.588;350.824;371.294
12.14;328.235;349.882;371.294
12.16;327.294;344.706;370.353
12.18;324.471;344.706;367.294
12.2;321.412;342.824;363.059
12.22;318.588;341.176;363.059
12.24;321.882;340.235;363.059
12.26;317.647;337.882;364
12.28;309.412;337.882;364
12.3;304.941;336.941;362.118
12.32;307.529;328.706;355.765
12.34;300.235;320;349.882
12.36;295.294;319.059;349.882
12.38;285.647;311.294;336.941
12.4;278.824;302.588;327.294
12.42;272.235;292.471;322.824
12.44;268.706;289.176;319.059
12.46;266.353;287.529;316.235
12.48;263.529;284.235;311.294
12.5;259.059;280.941;308.941
12.52;257.176;277.882;305.882
12.54;256.235;276.941;305.412
12.56;256.706;277.412;303.059
